ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
1310945;6645;6647;2021/2022;complete;72226;1;-1;35,40,85;16,59,70;3;3;6;3;4;7;-1;-1;-1;-1;-1;-1;8;6;13;5;21;11;-1;-1;50;50;-1;-1;1.85;3.25;3.85;1.07;1.34;1.7;3.2;6;7;2.75;2.05;1.26;1.1;1.91;1.74;0;0;0;0;1.23;1.27;1.72;2.6;2.05;4.33;2.25;2.5;4;0;0;1.21;1.41;1.72;2.23;3;3.9;2.7;2;1.58;1.34;0;0;0;1.57;7;2.63;0;0;1.4;3.05;7.9;26;2.7;1.33;1.05;1.01;1.25;2.25;5;13;3.75;1.57;1.17;1.04;0;0;0;0;6;2;1;1;2;3;3;2021-07-31 08:00:00;-1;0;0;0;0;0;1;-1;1;2;2;2;3;4;-1;-1;-1;-1;-1;-1;1;80;53;94;102;2.45;1.5;3.95;0;0;0;0;0;0;1;1;0;0;0;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Ripensia Timişoara;Dunărea Călăraşi;0.85;0.23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6156;25;Y;Y;Y;Y;Y;Y;Y
1310946;21572;6670;2021/2022;complete;72226;1;-1;;36,67;0;2;2;10;5;15;-1;-1;-1;-1;-1;-1;2;6;8;5;10;11;-1;-1;50;50;-1;-1;2.3;3.1;2.9;1.09;1.38;2.25;3.35;6.25;6.25;2.6;1.57;1.25;1.09;1.91;1.8;0;0;0;0;1.42;1.25;1.42;2.88;2.05;3.75;2.6;2.37;3.25;0;0;1.3;1.57;2;2.7;3.75;3.15;2.25;1.72;1.41;1.23;0;0;0;1.73;6.5;2.38;0;0;1.45;3.24;7.4;26;2.6;1.25;1.06;1.01;1.29;2.25;5.5;15;3.5;1.57;1.14;1.03;0;0;0;0;2;0;1;0;1;1;1;2021-07-31 08:00:00;6670;0;0;0;0;0;1;-1;0;1;10;4;1;14;-1;-1;-1;-1;-1;-1;1;80;57;138;114;1.36;1.54;2.9;0;0;0;0;0;0;1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;FC Unirea Dej;Unirea Slobozia;2;1.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6156;25;Y;Y;N;N;N;N;N
1310947;672408;6648;2021/2022;complete;72226;1;-1;56,57,59;8;3;1;4;4;5;9;-1;-1;-1;-1;-1;-1;7;9;7;2;14;11;-1;-1;54;46;-1;-1;2;3.2;3.45;1.07;1.33;2.1;3.2;6;7;2.75;1.67;1.26;1.1;1.91;1.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;3;0;3;1;2021-07-31 08:00:00;672408;0;0;0;0;0;1;-1;4;3;0;2;7;2;-1;-1;-1;-1;-1;-1;1;56;42;101;105;1.78;1.64;3.42;0;0;0;0;0;0;1;1;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Viitorul Şelimbăr;Dacia Unirea Brăila;2.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6156;25;Y;Y;Y;Y;N;N;Y
1310948;703557;10308;2021/2022;complete;72226;1;-1;58,71;16,43;2;2;4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;2;2;2021-08-01 09:00:00;-1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Brașov Steagul Renașt;Energeticianul;1.14;1.38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6156;25;Y;Y;Y;Y;N;N;Y
1310949;672557;669561;2021/2022;complete;72226;1;-1;79;;1;0;1;5;9;14;-1;-1;1;1;0;0;4;3;5;3;9;6;-1;-1;41;59;1;1;2.15;3.1;2.9;1.09;1.36;2.2;3.25;6;6;2.55;1.62;1.25;1.09;2;1.73;0;0;0;0;1.3;1.32;1.52;3.2;1.98;3.45;2.88;2.25;3.15;0;0;1.27;1.5;1.87;2.45;3.4;3.55;2.48;1.87;1.5;1.29;2;7;2.27;2;6.5;2.2;0;0;1.41;3.3;9.5;17;2.65;1.28;1.05;1.01;1.28;2.32;5.3;12;3.3;1.54;1.12;1.02;0;0;0;0;1;0;0;1;0;1;0;2021-08-04 17:30:00;672557;0;0;0;0;0;1;1;3;2;2;7;5;9;0;1;1;0;1;1;1;50;56;89;108;1.21;1.01;2.22;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;CSA Steaua Bucureşti;Csikszereda;2;1.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6156;25;Y;N;N;N;N;N;N
1310950;65;6642;2021/2022;complete;72226;1;-1;46;73,84;1;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;2;3;0;2021-07-31 08:00:00;6642;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Astra;Metaloglobus;0.77;1.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6156;25;Y;Y;Y;N;N;N;Y
1310951;10307;6619;2021/2022;complete;72226;1;-1;75,83;;2;0;2;7;6;13;-1;-1;-1;-1;-1;-1;10;6;8;8;18;14;-1;-1;52;48;-1;-1;1.83;3.3;3.95;1.07;1.33;2.1;3.25;6;7.25;2.75;1.65;1.25;1.09;2.1;1.67;0;0;0;0;0;0;0;2.38;2.1;4.75;2.1;0;4.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5;0;3;0;0;1.44;3.25;9;23;2.63;1.33;1.07;1.01;1.29;2.25;5.5;15;3.5;1.57;1.14;1.03;0;0;0;0;2;0;0;2;0;2;0;2021-07-31 08:00:00;10307;0;0;0;0;0;1;-1;4;2;3;4;6;7;-1;-1;-1;-1;-1;-1;1;46;29;70;65;2.16;1.51;3.67;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Petrolul 52;CSM Iaşi;2.47;1.23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6156;25;Y;Y;N;N;N;N;N
1310952;6620;703558;2021/2022;complete;72226;1;-1;36,85;;2;0;2;6;2;8;-1;-1;-1;-1;-1;-1;9;3;7;6;16;9;-1;-1;50;50;-1;-1;1.29;4.75;9;1.05;1.3;1.91;3.05;5.75;8.25;2.95;1.8;1.28;1.1;2.5;1.41;0;0;0;0;0;0;0;1.95;2.25;6.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;1;1;2021-07-31 08:00:00;6620;0;0;0;0;0;1;-1;3;1;3;1;4;4;-1;-1;-1;-1;-1;-1;1;69;37;101;112;2.14;1.06;3.2;0;0;0;0;0;0;1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Concordia Chiajna;Unirea Constanța;1.8;0.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6156;25;Y;Y;N;N;N;N;N
1310953;6638;669562;2021/2022;complete;72226;1;-1;43,48;26;2;1;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1.77;3.3;4.3;1.08;1.36;2;3.4;6.25;6.75;2.65;1.73;1.24;1.09;1.87;1.83;0;0;0;0;1.16;1.25;1.87;2.32;2.1;5.15;2.02;2.4;4.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.45;2.89;6.65;0;2.6;1.31;1.08;0;1.25;2.21;5;11;3.5;1.61;1.14;1.02;0;0;0;0;3;1;1;1;0;1;2;2021-07-31 10:30:00;6638;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Hermannstadt;SCM Gloria Buzău;2.07;1.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6156;25;Y;Y;Y;N;N;N;Y
1310954;10306;6652;2021/2022;complete;72226;1;-1;10,32,34;;3;0;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1.33;3.2;3;1.08;1.38;2.25;4.1;6.5;6;2.5;1.57;1.2;1.08;2.1;1.65;0;0;0;0;1.18;1.28;1.87;2.45;1.91;4.4;2.23;2.28;4.6;0;0;1.29;1.53;1.92;2.55;3.5;3.4;2.4;1.82;1.48;1.27;1.51;8;3.5;1.69;6;2.95;0;0;1.5;3.15;9.5;26;2.4;1.3;1.05;1.01;1.25;2.31;5.3;12;3.5;1.56;1.12;1.03;0;0;0;0;3;3;0;0;0;0;3;2021-08-03 15:00:00;10306;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Universitatea Cluj;ASU Poli Timişoara;2.4;1.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6156;27;Y;Y;Y;N;N;N;N
1310955;6647;6652;2021/2022;complete;72226;2;-1;37;11,68,87;1;3;4;5;3;8;-1;-1;-1;-1;-1;-1;3;4;3;4;6;8;-1;-1;48;52;-1;-1;2.45;3;2.6;1.13;1.53;2.3;4.25;8.25;4.65;2.35;1.57;1.15;1.05;2.1;1.54;0;0;0;0;1.35;1.28;1.38;3.1;2;3.5;2.75;2.3;3.1;0;0;1.29;1.53;1.92;2.55;3.5;3.4;2.4;1.82;1.48;1.27;2.03;7;2.25;1.83;6.75;2.2;0;0;1.47;3.5;10;26;2.45;1.29;1.06;1.01;1.3;2.38;5.5;15;3.4;1.53;1.14;1.03;0;0;0;0;4;1;1;0;2;2;2;2021-08-10 14:00:00;6652;0;0;0;0;0;1;-1;3;2;2;1;5;3;-1;-1;-1;-1;-1;-1;1;59;49;86;102;1.02;1.15;2.17;0;0;0;0;0;0;1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;50;50;50;50;50;0;0;0;0;0;1.5;Dunărea Călăraşi;ASU Poli Timişoara;0.33;1.14;0;0;1;0;50;50;0;0;0;0;0;0;0;0;0;6156;25;Y;Y;Y;Y;N;N;Y
1310956;669562;10306;2021/2022;complete;72226;2;-1;;9;0;1;1;4;4;8;-1;-1;1;4;0;0;5;4;4;4;9;8;-1;-1;55;45;1;4;2.8;3.2;2.25;1.07;1.33;2.11;3.2;5.75;6.75;2.7;1.65;1.25;1.09;1.8;1.74;0;0;0;0;0;0;0;3.6;2.05;2.88;3.25;0;2.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.3;0;1.8;0;0;1.44;3.25;9;26;2.63;1.33;1.07;1.01;1.25;2.2;5;13;3.75;1.62;1.17;1.04;0;0;0;0;1;0;1;0;0;0;1;2021-08-08 09:00:00;10306;0;0;0;0;0;1;1;2;2;2;2;4;4;0;1;1;3;1;4;1;60;49;102;98;1.36;1.15;2.51;0;0;0;0;0;0;1;1;0;1;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;SCM Gloria Buzău;Universitatea Cluj;1.92;1.5;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;6156;25;Y;N;N;N;N;N;N
1310957;703558;6638;2021/2022;complete;72226;2;-1;;56,59;0;2;2;5;6;11;-1;-1;2;0;0;0;2;10;4;1;6;11;-1;-1;48;52;2;0;3.64;3.22;2.02;1.1;1.41;2.25;3.7;7;5.5;2.4;1.57;1.19;1.06;2.2;1.5;0;0;0;0;1.72;1.3;1.15;5.05;2;2.46;4.5;2.28;2.23;0;0;1.25;1.47;1.82;2.38;3.25;3.7;2.55;1.92;1.54;1.3;0;0;0;2.95;6;1.69;0;0;1.48;3.35;8.5;0;2.5;1.27;1.04;0;1.27;2.5;5.5;12;3.35;1.48;1.11;1.02;0;0;0;0;2;0;0;0;2;2;0;2021-08-05 14:30:00;6638;0;0;0;0;0;1;1;0;3;5;3;3;8;0;0;2;0;0;2;1;42;60;109;114;0.84;1.84;2.67;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Unirea Constanța;Hermannstadt;0.58;2.14;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;6156;25;Y;Y;N;N;N;N;N
1310958;6619;6620;2021/2022;complete;72226;2;-1;;48;0;1;1;1;8;9;-1;-1;-1;-1;-1;-1;4;7;4;7;8;14;-1;-1;42;58;-1;-1;2.97;3.16;2.16;1.07;1.32;2.05;3.05;5.5;7;2.75;1.7;1.26;1.1;1.8;1.91;0;0;0;0;1.47;1.25;1.35;3.5;2.1;3;3.1;2.33;2.63;0;0;1.24;1.45;1.8;2.35;3.2;3.65;2.55;1.9;1.52;1.3;0;0;0;2.2;8;1.8;0;0;1.43;3.15;7.6;23;2.65;1.3;1.05;1.01;1.25;2.1;5;13;3.75;1.67;1.17;1.04;0;0;0;0;1;0;0;0;1;1;0;2021-08-07 08:00:00;6620;0;0;0;0;0;1;-1;0;2;1;6;2;7;-1;-1;-1;-1;-1;-1;1;26;44;91;98;0.99;1.7;2.68;0;0;0;0;0;0;1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;CSM Iaşi;Concordia Chiajna;1.67;1.21;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;6156;25;Y;N;N;N;N;N;N
1310959;6642;10307;2021/2022;complete;72226;2;-1;68;;1;0;1;4;3;7;-1;-1;-1;-1;-1;-1;5;2;3;5;8;7;-1;-1;46;54;-1;-1;2.85;3.1;2.35;1.08;1.4;2.3;3.65;7;6;2.45;1.53;1.2;1.07;2.2;1.62;0;0;0;0;1.74;1.29;1.22;4.5;2;2.6;4;2.25;2.3;0;0;1.23;1.42;1.74;2.23;3.05;3.95;2.75;2.02;1.6;1.35;0;0;0;2.88;7;1.62;0;0;1.5;3.5;10;0;2.5;1.29;1.06;0;1.33;2.5;6;17;3.25;1.5;1.13;1.03;0;0;0;0;1;0;0;1;0;1;0;2021-08-07 10:00:00;6642;0;0;0;0;0;1;-1;2;1;2;2;3;4;-1;-1;-1;-1;-1;-1;1;66;83;136;124;1.35;1.19;2.54;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Metaloglobus;Petrolul 52;1.33;1.86;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;6156;25;Y;N;N;N;N;N;N
1310960;669561;65;2021/2022;complete;72226;2;-1;;57;0;1;1;14;1;15;-1;-1;-1;-1;-1;-1;7;4;14;3;21;7;-1;-1;59;41;-1;-1;1.2;5.5;9.75;1.03;1.25;1.69;2.7;4.9;9.75;3.25;1.87;1.32;1.12;2.45;1.39;0;0;0;0;1.07;1.11;2.5;1.62;2.5;10;1.44;3.1;10;0;0;0;1.3;1.55;1.92;2.5;0;3.3;2.38;1.82;1.49;1.18;11;7.3;1.14;8.75;6.5;0;0;1.36;2.75;7;21;3;1.4;1.1;1.02;1.18;1.83;3.75;10;4.5;1.83;1.25;1.06;0;0;0;0;1;0;0;0;1;1;0;2021-08-09 13:00:00;65;0;0;0;0;0;1;-1;12;0;2;1;12;3;-1;-1;-1;-1;-1;-1;1;102;34;105;66;2.54;0.97;3.51;0;0;0;0;0;0;1;1;0;0;3;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Csikszereda;Astra;1.92;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6156;25;Y;N;N;N;N;N;N
1310961;10308;672557;2021/2022;complete;72226;2;-1;;23,65;0;2;2;4;8;12;-1;-1;-1;-1;-1;-1;3;5;5;3;8;8;-1;-1;49;51;-1;-1;2.15;3.3;1.63;1.04;1.33;2.3;4;8.5;9.5;3.05;1.6;1.2;1.06;2;1.73;0;0;0;0;1.44;1.25;1.38;3.75;2;3;3.25;2.45;2.63;0;0;1.25;1.47;1.82;2.38;3.25;3.7;2.55;1.92;1.54;1.3;2.7;7.5;1.75;2.38;7.75;1.8;0;0;1.41;2.85;7.3;23;2.7;1.37;1.06;1.01;1.3;2.38;5.5;15;3.4;1.53;1.14;1.03;0;0;0;0;2;0;1;0;1;1;1;2021-08-10 16:00:00;672557;0;0;0;0;0;1;-1;0;3;4;5;3;9;-1;-1;-1;-1;-1;-1;1;45;76;89;113;1.05;1.41;2.46;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Energeticianul;CSA Steaua Bucureşti;1.33;1.43;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;6156;25;Y;Y;N;N;N;N;N
1310962;6648;703557;2021/2022;complete;72226;2;-1;;;0;0;0;7;2;9;-1;-1;-1;-1;-1;-1;6;0;6;4;12;4;-1;-1;50;50;-1;-1;2.54;3.32;2.54;0;0;2.02;0;0;0;0;1.74;0;0;1.83;1.83;0;0;0;0;0;0;0;3.1;2.05;3.4;2.75;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.83;0;2.2;0;0;1.44;3.25;9;23;2.63;1.33;1.07;1.01;1.25;2.2;5;13;3.75;1.62;1.17;1.04;0;0;0;0;0;0;0;0;0;0;0;2021-08-07 08:00:00;-1;0;0;0;0;0;1;-1;1;2;6;0;3;6;-1;-1;-1;-1;-1;-1;1;59;57;112;112;1.61;0.68;2.29;0;0;0;0;0;0;1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Dacia Unirea Brăila;Brașov Steagul Renașt;0.42;1.23;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6156;25;N;N;N;N;N;N;N
1310963;6670;672408;2021/2022;complete;72226;2;-1;11,76;;2;0;2;5;3;8;-1;-1;-1;-1;-1;-1;3;3;3;3;6;6;-1;-1;46;54;-1;-1;2.3;3.08;2.81;1.08;1.36;2.15;3.3;6;6;2.6;1.61;1.24;1.08;1.91;1.8;0;0;0;0;0;0;0;2.75;2.05;3.75;2.5;0;3.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.73;0;2.4;0;0;1.44;3.25;9;26;2.63;1.33;1.07;1.01;1.29;2.25;5.5;15;3.5;1.57;1.14;1.03;0;0;0;0;2;1;0;1;0;1;1;2021-08-07 08:00:00;6670;0;0;0;0;0;1;-1;3;1;2;2;4;4;-1;-1;-1;-1;-1;-1;1;56;73;88;94;1;1.12;2.12;1;0;1;0;0;0;1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Unirea Slobozia;Viitorul Şelimbăr;1.57;0.83;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;6156;25;Y;Y;N;N;N;N;N
