ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
3788495;4615;678825;2022/2023;complete;94173;1;-1;14;44,53,75,88,90;1;5;6;2;5;7;3;1;5;4;1;0;5;8;2;2;7;10;13;12;36;64;7;4;3.23;3.43;1.96;1.04;1.23;1.72;2.75;5;11.5;3.8;1.88;1.4;1.15;1.65;2.1;0;0;0;0;1.73;1.27;1.34;3.6;2.3;2.5;3.3;2.6;2.35;0;0;1.43;1.88;2.45;3.2;4.4;2.62;1.93;1.49;1.3;1.17;3.04;7.5;1.62;2.3;11.5;1.62;4.8;4.2;1.34;2.55;6.25;12;3.1;1.46;1.11;1.02;1.19;1.9;3.8;10;4.33;1.8;1.24;1.06;0;0;0;0;6;1;1;0;4;4;2;2022-09-06 09:30:00;678825;1;0;0;0;0;1;1;2;3;0;2;5;2;2;1;4;3;3;7;1;61;89;100;130;1.24;1.84;3.08;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Sevilla U19;Manchester City U19;0.67;2.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8337;6;Y;Y;Y;Y;Y;Y;Y
3788496;1898;678819;2022/2023;complete;94173;1;-1;6,20,34,48;28,81;4;2;6;3;10;13;0;5;3;4;0;0;8;7;1;4;9;11;19;17;39;61;3;4;3.89;3.88;1.63;0;0;1.48;2.2;0;0;0;2.47;1.63;0;1.57;2.25;0;0;0;0;0;0;0;4.33;2.5;2.1;3.6;0;2.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.75;0;1.44;0;0;1.29;2.25;5.5;15;3.5;1.57;1.14;1.03;1.14;1.73;3.4;8;5.5;2;1.3;1.08;0;0;0;0;6;3;1;1;1;2;4;2022-09-06 11:30:00;1898;1;0;0;0;0;1;1;1;3;2;7;4;9;2;2;1;2;4;3;1;41;93;74;88;1.43;1.85;3.28;0;1;0;0;0;1;1;1;1;0;0;1;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Dinamo Zagreb U19;Chelsea U19;1;0.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8337;6;Y;Y;Y;Y;Y;Y;Y
3788497;4198;8434;2022/2023;complete;94173;1;-1;3,7,37,44,45;17,76,79;5;3;8;3;4;7;2;2;3;5;0;1;7;6;9;3;16;9;16;14;53;47;3;6;1.8;3.65;3.55;1.02;1.15;1.45;2.35;4.05;19;4.5;2.56;1.55;1.18;1.56;2.24;0;0;0;0;1.17;1.19;2.03;2.2;2.4;4;1.98;2.76;4.1;0;0;1.31;1.47;2;2.53;3.3;3.2;2.27;1.8;1.33;1.29;1.45;7.2;3.68;1.53;16.75;2.52;3.4;8.5;1.27;2.26;5.1;11;3.5;1.55;1.15;1.02;1.15;1.77;3.4;7;5;1.92;1.3;1.08;0;0;0;0;8;5;1;0;2;2;6;2022-09-06 12:00:00;4198;1;0;0;0;0;1;1;1;2;2;2;3;4;1;3;2;3;4;5;1;93;77;145;107;2.18;1.55;3.73;0;1;0;1;0;0;1;1;2;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;PSG U19;Juventus U19;2.17;1.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8337;6;Y;Y;Y;Y;Y;Y;Y
3788498;1574;9434;2022/2023;complete;94173;1;-1;;78,83;0;2;2;3;4;7;4;1;4;1;1;0;0;5;4;6;4;11;18;11;35;65;6;1;1.55;4;4.4;0;0;1.36;1.9;0;0;0;2.9;1.92;0;1.44;2.63;0;0;0;0;0;0;0;1.91;2.63;4.75;1.8;0;4.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.36;0;3;0;0;1.2;1.91;4;10;4.33;1.8;1.22;1.06;1.11;1.53;2.63;5.5;6.5;2.38;1.44;1.14;0;0;0;0;2;0;0;0;2;2;0;2022-09-06 12:00:00;9434;1;0;0;0;0;1;1;2;1;1;3;3;4;1;1;4;0;2;4;1;67;89;101;131;0.75;1.69;2.44;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Borussia Dortmund U19;København U19;1.33;1.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8337;6;Y;Y;N;N;N;N;N
3788499;678821;8461;2022/2023;complete;94173;1;-1;66;10;1;1;2;8;4;12;-1;-1;2;2;0;0;6;4;15;9;21;13;-1;-1;50;50;2;2;1.46;4;4.63;1.01;1.13;1.5;2.3;3.38;23.5;5.5;2.5;1.55;1.29;1.67;2.1;0;0;0;0;1.13;1.17;2.64;1.83;2.6;5.5;1.68;3.1;5.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3;23.5;3.5;2.62;15;1.25;2.2;5;13;3.75;1.62;1.17;1.04;1.14;1.67;3.25;7;5.5;2.1;1.33;1.1;0;0;0;0;2;0;1;1;0;1;1;2022-09-06 13:00:00;-1;1;0;0;0;0;1;1;3;3;5;1;6;6;0;1;2;1;1;3;1;105;41;133;107;2.5;1.41;3.9;0;1;0;1;0;0;1;1;0;1;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Salzburg U19;Milan U19;1.33;2.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8337;6;Y;Y;N;N;N;N;Y
3788500;1605;1752;2022/2023;complete;94173;1;-1;;16,78;0;2;2;6;1;7;2;2;4;2;0;0;4;4;3;0;7;4;20;12;46;54;4;2;1.93;3.5;3.15;1.02;1.13;1.4;2.15;3.48;22.5;5.35;2.75;1.67;1.24;1.44;2.53;0;0;0;0;1.23;1.2;1.88;2.5;2.5;3.25;2.09;2.83;3.58;0;0;1.32;1.48;1.98;2.55;3.3;3.1;2.25;1.83;1.33;1.28;2.2;6.7;1.97;1.62;19.5;2.2;4.2;7.5;1.22;2.11;4.4;10.5;4;1.63;1.19;1.02;1.12;1.66;2.9;6;5.7;2.06;1.37;1.11;0;0;0;0;2;0;1;0;1;1;1;2022-09-06 13:30:00;1752;1;0;0;0;0;1;1;2;0;4;1;2;5;2;0;2;2;2;4;1;57;21;78;61;1.14;0.69;1.83;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;RB Leipzig U19;Shakhtar Donetsk U19;0.83;1.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8337;6;Y;Y;N;N;N;N;N
3788501;679689;4668;2022/2023;complete;94173;1;-1;;7,18,30,33,50,68;0;6;6;5;8;13;3;2;0;0;1;0;2;13;2;15;4;28;8;10;32;68;2;0;6.5;4.95;1.22;1.01;1.1;1.36;1.86;3.1;19;6.3;2.9;1.74;1.33;1.65;2.18;0;0;0;0;3.4;1.13;1.08;6.5;2.75;1.67;6.35;3.5;1.55;0;0;1.29;1.44;1.95;2.44;3.1;3.3;2.32;1.85;1.37;1.31;5.2;8.2;1.27;4;27.5;1.22;17;2.45;1.2;1.97;4;10;4.2;1.78;1.22;1.03;1.1;1.58;2.75;5.3;6.2;2.3;1.42;1.12;0;0;0;0;6;0;4;0;2;2;4;2022-09-06 14:00:00;4668;1;0;0;0;0;1;1;5;4;0;4;9;4;1;0;0;0;1;0;1;39;91;60;93;0.68;3.31;3.99;0;0;0;0;0;0;1;1;0;1;2;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Celtic U19;Real Madrid U19;0.5;2.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8337;6;Y;Y;Y;Y;Y;Y;N
3788502;678844;679706;2022/2023;complete;94173;1;-1;;14;0;1;1;11;2;13;4;3;1;4;1;0;13;5;20;1;33;6;10;11;70;30;3;4;1.1;8.5;16;1.01;1.08;1.3;1.9;2.8;22;7.2;3.2;1.92;1.4;2.17;1.66;0;0;0;0;1.01;1.04;7;1.4;3.2;12;1.3;4.3;11;0;0;1.27;1.42;1.83;2.4;3.1;3.4;2.35;1.98;1.39;1.33;1.1;12;9.2;1.13;30.5;6;1.7;34;1.17;1.86;3.7;10;4.7;1.88;1.25;1.06;1.08;1.51;2.55;5;7;2.46;1.48;1.13;0;0;0;0;1;0;1;0;0;0;1;2022-09-06 14:00:00;679706;1;0;0;0;0;1;1;5;1;6;1;6;7;1;1;1;3;2;4;1;141;37;190;92;4;1.01;5.01;0;0;0;0;0;0;1;1;0;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Benfica U19;Maccabi Haifa U19;1.17;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8337;6;Y;N;N;N;N;N;N
3788503;1606;679647;2022/2023;complete;94173;1;-1;62;10;1;1;2;3;4;7;7;3;2;1;1;0;4;7;5;3;9;10;18;12;44;56;3;1;5;4.5;1.48;1.01;1.1;1.34;2.05;3.2;19;6.2;2.99;1.73;1.28;1.45;2.66;0;0;0;0;2.38;1.19;1.18;4.75;2.63;1.95;4.16;3.1;1.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;23;1.36;10;3.3;1.2;2.1;4.5;9.5;4;1.67;1.17;1.04;1.1;1.59;2.8;6;6.2;2.28;1.41;1.13;0;0;0;0;2;0;1;1;0;1;1;2022-09-07 10:00:00;-1;1;0;0;0;0;1;1;2;2;1;2;4;3;1;1;2;0;2;2;1;42;58;69;85;1.15;1.54;2.69;0;0;0;0;0;0;1;1;0;1;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Eintracht Frankfurt U19;Sporting CP U19;1.83;2.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8337;6;Y;Y;N;N;N;N;Y
3788504;678845;678818;2022/2023;complete;94173;1;-1;12,30;37;2;1;3;5;7;12;2;1;2;0;0;0;5;7;6;4;11;11;14;4;60;40;2;0;1.48;4.5;4.75;1.01;1.08;1.28;1.9;2.72;33.5;6.8;3.3;1.92;1.42;1.35;3.08;0;0;0;0;1.14;1.14;2.25;1.95;2.63;4.33;1.92;3.2;3.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.4;33.5;2.75;3.3;12;1.17;1.84;3.6;8.5;4.7;1.9;1.26;1.05;1.08;1.49;2.5;5;7;2.5;1.5;1.14;0;0;0;0;3;2;1;0;0;0;3;2022-09-07 11:00:00;678845;1;0;0;0;0;1;1;4;1;1;6;5;7;1;0;1;0;1;1;1;84;63;128;84;1.66;1.64;3.3;0;1;0;0;0;1;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Ajax U19;Rangers U19;2.17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8337;6;Y;Y;Y;N;N;N;Y
3788505;8436;678824;2022/2023;complete;94173;1;-1;59;28,67;1;2;3;1;2;3;3;1;1;3;0;0;4;5;6;7;10;12;10;12;50;50;1;3;5.5;4.75;1.4;1.01;1.09;1.33;1.9;2.88;20;6.7;3;1.92;1.34;1.43;2.74;0;0;0;0;2.3;1.13;1.13;4.5;2.63;1.95;4.24;3.2;1.86;0;0;0;0;0;0;0;0;0;0;0;0;3;8.5;1.5;3;26;1.36;15;2.88;1.17;2;4;9.5;4.5;1.73;1.2;1.04;1.09;1.55;2.66;5.3;6.6;2.41;1.44;1.12;0;0;0;0;3;0;1;1;1;2;1;2022-09-07 12:00:00;678824;1;0;0;0;0;1;1;0;2;1;0;2;1;0;1;1;2;1;3;1;35;66;89;114;1.17;1.59;2.76;1;0;1;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Napoli U19;Liverpool U19;0.17;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8337;6;Y;Y;Y;N;N;N;Y
3788506;4648;3715;2022/2023;complete;94173;1;-1;22,51,60;;3;0;3;7;2;9;2;3;1;1;0;0;18;2;11;1;29;3;12;8;64;36;1;1;1.25;5.75;7.5;1.01;1.04;1.23;1.6;2.38;46.5;8.9;3.73;2.2;1.56;1.32;3.24;0;0;0;0;1.11;1.11;2.6;1.8;2.88;4.75;1.77;3.4;4.34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.33;46.5;3.25;2.8;19;1.14;1.67;3.24;7.5;5;2.1;1.29;1.06;1.06;1.41;2.26;4.6;7.9;2.75;1.6;1.16;0;0;0;0;3;1;0;2;0;2;1;2022-09-07 12:00:00;4648;1;0;0;0;0;1;1;4;2;3;0;6;3;1;1;0;0;2;0;1;68;26;144;86;3.58;0.53;4.11;0;0;0;0;0;0;1;1;0;0;3;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Barcelona U19;Viktoria Plzeň U19;2.33;0.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8337;6;Y;Y;Y;N;N;N;N
3788507;678828;4191;2022/2023;complete;94173;1;-1;16,32,49;;3;0;3;3;3;6;-1;-1;1;3;0;0;6;6;6;9;12;15;-1;-1;50;50;1;3;1.53;4.75;4.2;1.02;1.14;1.36;2.02;3.5;13;5;2.9;1.72;1.29;1.44;2.63;0;0;0;0;1.5;1.25;1.5;2.88;2.5;2.75;2.6;2.62;2.63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.67;20;2.1;5;6;1.25;2.1;4.5;13;3.75;1.67;1.18;1.04;1.13;1.62;3;6.5;6;2.2;1.36;1.11;0;0;0;0;3;2;0;1;0;1;2;2022-09-07 13:00:00;678828;1;0;0;0;0;1;1;0;2;3;1;2;4;1;2;0;1;3;1;1;60;79;109;120;1.62;1.94;3.56;1;0;1;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Tottenham Hotspur U19;Olympique Marseille U19;1;0.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8337;6;Y;Y;Y;N;N;N;N
3788508;8472;1573;2022/2023;complete;94173;1;-1;65,82;19,35;2;2;4;4;7;11;2;3;5;1;0;0;4;5;4;10;8;15;13;11;39;61;5;1;2.48;3.71;1.98;1.01;1.1;1.38;1.98;3.14;19;6.2;2.81;1.8;1.29;1.38;2.94;0;0;0;0;1.37;1.26;1.73;2.5;2.5;3.25;2.24;3;3.24;0;0;1.27;1.49;1.82;2.33;3.1;3.5;2.5;1.92;1.56;1.34;2.28;7.2;1.92;1.62;23;2.2;6.5;5;1.2;2.1;4.5;9.5;4;1.67;1.17;1.04;1.1;1.59;2.79;6;6.2;2.26;1.39;1.13;0;0;0;0;4;0;2;2;0;2;2;2022-09-07 14:00:00;-1;1;0;0;0;0;1;1;1;4;3;3;5;6;2;1;3;0;3;3;1;49;73;82;107;1.14;1.82;2.97;0;1;0;0;0;1;1;1;0;0;0;2;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Inter Milan U19;Bayern München U19;1.17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8337;6;Y;Y;Y;Y;N;N;Y
3788509;6988;678846;2022/2023;complete;94173;1;-1;72;;1;0;1;0;5;5;1;1;1;4;0;0;-1;-1;-1;-1;-1;-1;7;11;34;66;1;4;2.05;3.53;2.47;1.01;1.1;1.39;2.32;3.14;19;6.2;2.77;1.56;1.29;1.37;2.98;0;0;0;0;1.47;1.25;1.6;2.63;2.5;3;2.42;2.9;2.96;0;0;1.47;1.9;2.48;3.45;0;2.5;1.9;1.49;1.27;0;1.92;6.55;2.32;1.73;23;2.05;4.8;5.8;1.2;2.1;4.5;9.5;4;1.67;1.17;1.04;1.1;1.59;2.79;7;6.2;2.26;1.39;1.1;0;0;0;0;1;0;0;1;0;1;0;2022-09-07 14:00:00;6988;1;0;0;0;0;1;1;0;3;0;2;3;2;1;1;0;3;2;3;-1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Atlético Madrid U19;Porto U19;2.5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8337;6;Y;N;N;N;N;N;N
3788510;678834;1590;2022/2023;complete;94173;1;-1;23,39,41,49;19;4;1;5;4;3;7;0;2;0;5;0;0;11;2;6;2;17;4;7;12;61;39;0;5;1.28;4.75;5.45;1.01;1.07;1.3;1.77;2.8;32;6.5;3.21;1.83;1.37;1.53;2.38;0;0;0;0;1.08;1.11;3.15;1.91;2.75;4.5;1.62;3.4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.36;15;3;2.8;15;1.2;1.91;4;10;4.33;1.8;1.22;1.06;1.1;1.53;2.63;5.5;7;2.38;1.44;1.14;0;0;0;0;5;3;1;1;0;1;4;2022-09-07 14:00:00;678834;1;0;0;0;0;1;1;1;0;3;3;1;6;0;2;0;3;2;3;1;73;43;92;73;2.36;0.71;3.07;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Club Brugge U19;Bayer Leverkusen U19;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8337;6;Y;Y;Y;Y;Y;N;Y
3788511;678846;678834;2022/2023;complete;94173;2;-1;8,31;25;2;1;3;6;4;10;2;4;2;2;0;0;9;2;8;6;17;8;19;12;53;47;2;2;2.25;4.33;2.25;1.02;1.14;1.43;2.32;3.65;21;5.15;2.47;1.56;1.26;1.43;2.61;0;0;0;0;1.51;1.25;1.51;2.88;2.4;2.88;2.65;2.81;2.65;0;0;1.35;1.64;2.1;2.88;4;3;2.14;1.66;1.38;1.21;2.22;6.67;1.98;1.88;21;1.88;5;5;1.25;2.15;4.7;10.5;3.6;1.62;1.15;1.02;1.1;1.68;3.1;7;5.8;2.05;1.32;1.1;0;0;0;0;3;2;1;0;0;0;3;2022-09-13 11:00:00;678846;1;50;0;0;0;1;1;4;0;2;4;4;6;0;1;2;1;1;3;1;60;44;77;81;2.13;0.97;3.1;1;0;1;0;0;0;1;1;1;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;50;50;50;50;100;50;50;100;0;9;1;4;3;Porto U19;Club Brugge U19;2;1.5;0;3;0;3;50;50;50;50;0;0;0;0;0;0;0;8337;6;Y;Y;Y;N;N;N;Y
3788512;3715;8472;2022/2023;complete;94173;2;-1;;28,30,32;0;3;3;9;4;13;1;3;1;1;0;0;2;6;2;6;4;12;11;7;47;53;1;1;4.32;3.99;1.57;1.02;1.14;1.42;2.08;3.48;22;4.6;2.49;1.68;1.24;1.51;2.35;0;0;0;0;2.2;1.17;1.14;4.5;2.5;2.05;4.33;2.92;1.86;0;0;1.2;1.33;1.6;2.02;2.65;4;3.05;2.23;1.73;1.43;3.69;7.84;1.42;2.88;19.5;1.4;9;3.7;1.23;2.11;4.5;10;3.9;1.63;1.18;1.03;1.12;1.67;3;6.5;5.7;2.06;1.35;1.11;0;0;0;0;3;0;3;0;0;0;3;2022-09-13 11:00:00;8472;1;50;0;0;0;1;1;8;1;1;3;9;4;0;0;1;1;0;2;1;79;77;99;131;0.97;1.74;2.71;0;0;0;0;0;0;1;1;0;0;3;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;50;100;100;100;50;100;100;100;6;5;6;3.5;Viktoria Plzeň U19;Inter Milan U19;0.83;1.17;0;1;0;1;100;50;0;0;0;100;50;50;0;0;0;8337;6;Y;Y;Y;N;N;N;N
3788513;1573;4648;2022/2023;complete;94173;2;-1;6,25,85;33,39,49;3;3;6;4;7;11;1;2;1;2;0;0;7;10;6;7;13;17;12;12;47;53;1;2;2.48;3.58;2.28;1.01;1.16;1.4;2.02;3.34;23;4.6;2.85;1.73;1.26;1.39;2.72;0;0;0;0;1.55;1.22;1.41;3;2.5;2.63;2.81;2.8;2.51;0;0;1.26;1.49;1.93;2.45;3.35;3.55;2.48;1.88;1.5;1.29;2.34;6.8;1.89;2.05;20.5;1.73;6.5;4.75;1.25;2.06;4.4;10;3.64;1.66;1.17;1.03;1.15;1.64;3.1;6;4.7;2.1;1.32;1.11;0;0;0;0;6;2;2;1;1;2;4;2022-09-13 12:00:00;-1;1;50;0;0;0;1;1;2;5;2;2;7;4;0;0;1;2;0;3;1;65;76;112;143;1.78;2.33;4.11;0;0;0;0;0;0;1;1;1;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;50;100;100;100;50;100;100;100;14;5;2;3.5;Bayern München U19;Barcelona U19;1;2.33;1;3;1;3;100;50;0;0;0;100;50;50;0;0;0;8337;6;Y;Y;Y;Y;Y;Y;Y
