ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
1279304;10169;576;2021/2022;complete;70586;1;-1;;;0;0;0;3;2;5;-1;-1;4;2;0;0;6;0;5;2;11;2;-1;-1;50;50;4;2;2.38;3.8;1.53;1.04;1.2;1.6;2.35;3.8;11;3.9;2.3;1.49;1.21;1.57;2.25;4.25;1.17;3.15;1.3;1.62;1.28;1.36;3.4;2.38;2.6;3.1;2.55;2.38;0;0;0;0;2.2;0;0;0;0;0;0;0;0;0;0;2.2;11.5;1.67;5.75;4.05;1.3;2.5;6;17;3.4;1.5;1.13;1.03;1.17;1.8;3.5;8;5;1.91;1.29;1.08;0;0;0;0;0;0;0;0;0;0;0;2021-07-15 16:30:00;-1;0;0;0;0;0;1;1;3;1;0;1;4;1;3;0;1;2;3;3;1;32;27;66;62;1.35;0.33;1.68;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Aubstadt;Unterhaching;1.84;1.63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6024;38;N;N;N;N;N;N;N
1279305;6830;6754;2021/2022;complete;70586;1;-1;;35,73,85,90;0;4;4;3;6;9;-1;-1;-1;-1;-1;-1;0;5;0;0;0;5;-1;-1;50;50;-1;-1;3.7;4.75;1.24;1.02;1.17;1.48;2.15;3.55;14;4.4;2.6;1.57;1.24;1.57;2.25;5.75;1.1;2.55;1.44;2.3;1.13;1.19;4.5;2.6;2;4.33;2.9;1.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.88;16.5;1.4;7.25;2.75;1.25;2.2;4.4;10.5;3.6;1.62;1.19;1.05;1.14;1.67;3.25;7;5.5;2.1;1.33;1.1;0;0;0;0;4;0;1;0;3;3;1;2021-07-16 16:30:00;6754;0;0;0;0;0;1;-1;1;5;2;1;6;3;-1;-1;-1;-1;-1;-1;1;53;68;0;0;0.37;1.14;1.51;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;TSV 1896 Rain am Lech;Bayreuth;1.32;2.63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6024;38;Y;Y;Y;Y;N;N;N
1279306;6836;6781;2021/2022;complete;70586;1;-1;10,37,52,87;30;4;1;5;3;6;9;-1;-1;-1;-1;-1;-1;9;2;4;6;13;8;-1;-1;63;37;-1;-1;2.25;3.5;2.85;1.03;1.16;1.45;1.96;3.3;13;4.5;2.55;1.83;1.27;1.44;2.63;3.55;1.25;5;1.12;1.33;1.17;1.8;2.4;2.4;3.5;2.2;2.8;3.25;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1.62;17;2.3;4.05;6.25;1.22;2.05;3.9;8.75;3.75;1.71;1.24;1.07;1.14;1.67;3;6.5;5.5;2.1;1.36;1.11;0;0;0;0;5;2;1;2;0;2;3;2021-07-16 17:00:00;6836;0;0;0;0;0;1;-1;1;1;2;5;2;7;-1;-1;-1;-1;-1;-1;1;62;49;126;85;1.91;1;2.91;-1;-1;-1;-1;-1;-1;-1;1;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Heimstetten;Memmingen;1.68;0.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6024;38;Y;Y;Y;Y;Y;N;Y
1279307;6764;6767;2021/2022;complete;70586;1;-1;;43;0;1;1;10;3;13;-1;-1;2;6;0;0;2;4;3;2;5;6;-1;-1;50;50;2;6;1.69;3.95;4.3;1.05;1.21;1.5;2.2;4;10;3.75;2.41;1.6;1.19;1.67;2.1;2.85;1.36;5.5;1.11;1.19;1.25;2.15;2.25;2.3;4.33;2;2.6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5;10.5;2.75;3.05;7.25;1.29;2.2;4.4;10.5;3.35;1.62;1.19;1.05;1.18;1.83;3.75;9;4.5;1.83;1.25;1.07;0;0;0;0;1;0;1;0;0;0;1;2021-07-16 17:00:00;6767;0;0;0;0;0;1;1;8;1;2;2;9;4;1;0;1;6;1;7;1;116;48;137;82;1.3;1.01;2.32;0;0;0;0;0;0;1;1;0;0;1;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Wacker Burghausen;Schalding-Heining;1.68;0.53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6024;38;Y;N;N;N;N;N;N
1279308;6328;6832;2021/2022;complete;70586;1;-1;5;;1;0;1;5;9;14;-1;-1;1;2;0;0;6;5;4;4;10;9;-1;-1;53;47;1;2;3.05;4;2;1.02;1.14;1.4;2;3.05;15;4.85;2.73;1.72;1.3;1.4;2.75;5.25;1.12;4.05;1.19;1.67;1.2;1.36;3;2.4;2.75;2.75;2.85;2.5;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2.05;18;1.73;5.75;4.95;1.22;2;3.7;8.25;3.8;1.74;1.25;1.08;1.13;1.62;2.75;6;6;2.2;1.4;1.13;0;0;0;0;1;1;0;0;0;0;1;2021-07-16 17:00:00;6328;0;0;0;0;0;1;1;3;6;2;3;9;5;1;1;0;1;2;1;1;50;70;93;111;1.42;1.43;2.85;1;0;1;0;0;0;1;1;1;0;1;3;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Illertissen;Viktoria Aschaffenburg;1.37;1.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6024;38;Y;N;N;N;N;N;N
1279309;6753;6801;2021/2022;complete;70586;1;-1;;15,33,40;0;3;3;3;4;7;-1;-1;-1;-1;-1;-1;4;7;6;0;10;7;-1;-1;46;54;-1;-1;4.45;4.1;1.57;1.03;1.16;1.48;2.15;3.5;13;4.45;2.35;1.57;1.24;1.57;2.2;5.75;1.1;2.75;1.38;2.22;1.22;1.19;4.33;2.5;2.1;4;2.92;1.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.63;19.5;1.44;7.25;3.25;1.22;2.17;5;13;3.8;1.64;1.17;1.04;1.14;1.67;3.25;7;5.5;2.1;1.33;1.1;0;0;0;0;3;0;3;0;0;0;3;2021-07-17 12:00:00;6801;0;0;0;0;0;1;-1;1;3;2;1;4;3;-1;-1;-1;-1;-1;-1;1;30;41;71;69;1.13;1.23;2.36;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Augsburg II;Bayern München II;1.74;2.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6024;38;Y;Y;Y;N;N;N;N
1279310;6807;6788;2021/2022;complete;70586;1;-1;28,48;71,83;2;2;4;4;8;12;-1;-1;-1;-1;-1;-1;5;6;3;3;8;9;-1;-1;61;39;-1;-1;1.57;3.8;4.8;1.03;1.17;1.5;2.15;3.5;12;4.3;2.3;1.57;1.25;1.54;2.25;3;1.33;6.75;1.07;1.21;1.21;2.18;2.1;2.5;4.33;1.91;2.55;4;0;0;0;0;1.98;0;0;0;0;1.83;0;0;0;0;0;1.44;10.75;2.75;3.3;8.25;1.29;2.05;3.85;8.75;3.4;1.71;1.24;1.07;1.14;1.73;3.25;7;5.5;2;1.33;1.1;0;0;0;0;4;1;0;1;2;3;1;2021-07-17 12:00:00;-1;0;0;0;0;0;1;-1;2;4;2;4;6;6;-1;-1;-1;-1;-1;-1;1;42;32;98;69;1.17;1.22;2.39;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Nürnberg II;Pipinsried;1.53;1.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6024;38;Y;Y;Y;Y;N;N;Y
1279311;10123;6775;2021/2022;complete;70586;1;-1;;3,69,77;0;3;3;5;3;8;-1;-1;-1;-1;-1;-1;7;4;9;5;16;9;-1;-1;60;40;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;2;2;1;2021-07-17 15:00:00;6775;0;0;0;0;0;1;-1;4;2;1;1;6;2;-1;-1;-1;-1;-1;-1;1;31;21;64;55;1.72;1;2.72;-1;-1;-1;-1;-1;-1;-1;1;0;1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Sport-Club 1926 Eltersdorf;Eichstätt;0.89;1.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6024;38;Y;Y;Y;N;N;N;N
1279312;6796;6302;2021/2022;complete;70586;1;-1;62;8;1;1;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2.8;3.8;1.35;1.04;1.22;1.65;2.45;4.15;10.25;3.75;2.2;1.44;1.18;1.67;2.1;4.35;1.17;3;1.33;1.7;1.25;1.27;4.33;2.3;2.2;3.75;2.7;2.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.6;15;1.53;6.75;2.85;1.33;2.3;4.85;13;3.1;1.56;1.17;1.04;1.18;1.83;3.75;9;4.5;1.83;1.25;1.07;0;0;0;0;2;0;1;1;0;1;1;2021-07-17 15:00:00;-1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;1;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Buchbach;Schweinfurt;1.42;1.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6024;38;Y;Y;N;N;N;N;Y
1279313;6802;6345;2021/2022;complete;70586;1;-1;88;51;1;1;2;4;5;9;-1;-1;-1;-1;-1;-1;7;4;2;1;9;5;-1;-1;65;35;-1;-1;1.83;3.5;3.6;1.04;1.2;1.57;2.4;3.9;10.5;3.9;2.15;1.48;1.2;1.54;2.25;2.95;1.34;4.8;1.14;1.17;1.22;2.1;2.4;2.3;3.75;2.1;2.88;3.5;0;0;0;0;2.25;0;0;0;0;0;0;0;0;0;0;1.57;16;2.4;3.6;6.75;1.3;2.38;5.5;15;3.4;1.53;1.14;1.03;1.17;1.8;3.5;8;5;1.91;1.29;1.08;0;0;0;0;2;0;0;1;1;2;0;2021-07-18 12:00:00;-1;0;0;0;0;0;1;-1;2;3;2;2;5;4;-1;-1;-1;-1;-1;-1;1;36;30;74;63;1.32;0.82;2.14;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Greuther Fürth II;1860 Rosenheim;1.05;0.37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6024;38;Y;Y;N;N;N;N;Y
1279314;6802;6754;2021/2022;complete;70586;2;-1;;3,28,29,66,71;0;5;5;6;3;9;-1;-1;-1;-1;-1;-1;3;10;4;3;7;13;-1;-1;52;48;-1;-1;3.5;3.8;1.22;1.04;1.2;1.53;2.25;3.75;11;3.95;2.4;1.51;1.21;1.62;2.2;6.75;1.07;2.6;1.43;2.15;1.18;1.15;4.75;2.4;2.05;4.5;3;1.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.88;21;1.4;7.75;2.85;1.3;2.38;5.5;15;3.4;1.53;1.14;1.03;1.14;1.73;3.4;7;5.5;2;1.3;1.1;0;0;0;0;5;0;3;0;2;2;3;2021-07-23 16:00:00;6754;0;50;0;50;0;1;-1;2;3;4;0;5;4;-1;-1;-1;-1;-1;-1;1;73;81;143;121;1.2;2.11;3.31;-1;-1;-1;-1;-1;-1;-1;1;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;50;50;100;100;0;50;100;100;10;0;0;3;Greuther Fürth II;Bayreuth;1.05;2.63;1;3;1;3;100;50;50;0;0;100;0;0;1.32;1.14;2.46;6024;38;Y;Y;Y;Y;Y;N;N
1279315;6832;6796;2021/2022;complete;70586;2;-1;73;;1;0;1;4;0;4;-1;-1;-1;-1;-1;-1;4;3;12;6;16;9;-1;-1;53;47;-1;-1;1.65;3.5;2;1.04;1.2;1.6;2.3;3.65;11;3.95;2.3;1.51;1.22;1.53;2.38;3.6;1.25;4.3;1.17;1.35;1.25;1.55;2.75;2.3;3.1;2.5;2.74;2.88;0;0;0;0;2.2;0;0;0;0;0;0;0;0;0;0;1.73;18;2.1;4.4;5;1.29;2.38;5.5;15;3.5;1.53;1.14;1.03;1.17;1.73;3.4;8;5;2;1.3;1.08;0;0;0;0;1;0;0;1;0;1;0;2021-07-23 16:30:00;6832;0;0;0;0;0;1;-1;2;0;2;0;2;2;-1;-1;-1;-1;-1;-1;1;55;38;103;98;1.69;1.06;2.75;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Viktoria Aschaffenburg;Buchbach;1.63;1.11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6024;38;Y;N;N;N;N;N;N
1279316;6767;6807;2021/2022;complete;70586;2;-1;8;40;1;1;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3.4;3.4;1.91;1.04;1.2;1.58;2.35;3.85;11;3.9;2.3;1.49;1.21;1.53;2.38;4.05;1.19;3.5;1.25;1.61;1.27;1.42;3.25;2.3;2.75;3;2.7;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.2;17;1.73;5.25;4.1;1.33;2.5;6;17;3.25;1.5;1.13;1.03;1.17;1.8;3.5;8;5;1.91;1.29;1.08;0;0;0;0;2;1;1;0;0;0;2;2021-07-23 16:30:00;-1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Schalding-Heining;Nürnberg II;1;1.05;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;6024;38;Y;Y;N;N;N;N;Y
1279317;576;6764;2021/2022;complete;70586;2;-1;83;52,67;1;2;3;6;3;9;-1;-1;-1;-1;-1;-1;6;6;3;6;9;12;-1;-1;65;35;-1;-1;1.28;3.8;3.1;1.04;1.19;1.57;2.3;3.75;11;4;2.35;1.5;1.21;1.62;2.2;2.65;1.42;6;1.09;1.18;1.2;2;2.2;2.38;4.33;1.95;2.91;4;0;0;0;0;2.38;0;0;0;0;1.95;0;0;0;0;0;1.44;20;2.75;3.15;7;1.29;2.25;5;13;3.5;1.57;1.17;1.04;1.17;1.73;3.4;8;5;2;1.3;1.08;0;0;0;0;3;0;0;1;2;3;0;2021-07-23 17:00:00;6764;0;0;0;0;0;1;-1;5;2;1;1;7;2;-1;-1;-1;-1;-1;-1;1;88;71;126;83;1.63;1.69;3.32;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Unterhaching;Wacker Burghausen;1.74;1.68;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6024;38;Y;Y;Y;N;N;N;Y
1279318;6801;6836;2021/2022;complete;70586;2;-1;19;;1;0;1;7;4;11;-1;-1;-1;-1;-1;-1;4;4;8;3;12;7;-1;-1;48;52;-1;-1;1.08;5.5;5.75;1.02;1.15;1.44;2.05;3.25;15;4.65;2.7;1.65;1.27;1.83;1.83;2;1.74;8.75;1.03;1.07;1.11;2.9;1.67;2.75;7;1.5;3.24;7;0;0;0;0;2.1;0;0;0;0;0;0;0;0;0;0;1.2;22;4.33;2.15;11;1.25;2.2;5;13;3.75;1.62;1.17;1.04;1.13;1.67;3;6.5;6;2.1;1.36;1.11;0;0;0;0;1;1;0;0;0;0;1;2021-07-23 17:00:00;6801;0;0;0;0;0;1;-1;2;3;5;1;5;6;-1;-1;-1;-1;-1;-1;1;74;69;135;126;1.58;1.23;2.82;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Bayern München II;Heimstetten;2.42;0.79;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;6024;38;Y;N;N;N;N;N;N
1279319;6345;10169;2021/2022;complete;70586;2;-1;;;0;0;0;-1;-1;-1;-1;-1;2;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-07-24 12:00:00;-1;0;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;1;0;1;0;1;1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;1860 Rosenheim;Aubstadt;1.05;1.37;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;6024;38;N;N;N;N;N;N;N
1279320;6781;10123;2021/2022;complete;70586;2;-1;66;88;1;1;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2.25;3.6;2.7;1.03;1.18;1.55;2.3;3.6;12;4.15;2.31;1.53;1.24;1.5;2.5;4;1.19;4.1;1.19;1.51;1.27;1.52;2.88;2.38;2.88;2.63;2.75;2.63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;18;1.8;5.25;4.75;1.29;2.25;5.5;15;3.5;1.57;1.14;1.03;1.14;1.73;3.25;7;5.5;2;1.33;1.1;0;0;0;0;2;0;0;1;1;2;0;2021-07-23 17:30:00;-1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Memmingen;Sport-Club 1926 Eltersdorf;1.11;1.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6024;38;Y;Y;N;N;N;N;Y
1279321;6302;6830;2021/2022;complete;70586;2;-1;2,8,14,22,81;9;5;1;6;9;0;9;-1;-1;-1;-1;-1;-1;14;2;10;8;24;10;-1;-1;70;30;-1;-1;1.3;4.85;7.5;1.02;1.14;1.42;2;3.2;14;4.95;2.55;1.67;1.28;1.69;2;2.35;1.54;7.75;1.05;1.11;1.2;2.5;1.83;2.63;5.5;1.67;3;5.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3;24;3.4;2.55;10.25;1.25;2.1;4.5;13;3.75;1.67;1.18;1.04;1.13;1.62;3;6.5;6;2.2;1.36;1.11;0;0;0;0;6;4;1;1;0;1;5;2021-07-24 12:00:00;6302;0;0;0;0;0;1;-1;3;0;6;0;3;6;-1;-1;-1;-1;-1;-1;1;68;40;108;72;2.98;1.06;4.04;-1;-1;-1;-1;-1;-1;-1;1;2;1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Schweinfurt;TSV 1896 Rain am Lech;2.16;1.05;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6024;38;Y;Y;Y;Y;Y;Y;Y
1279322;6788;6753;2021/2022;complete;70586;2;-1;28,35,90;48;3;1;4;6;12;18;-1;-1;-1;-1;-1;-1;10;8;8;8;18;16;-1;-1;39;61;-1;-1;1.6;3.75;2.1;1.03;1.16;1.44;2.13;3.4;13;4.45;2.7;1.64;1.25;1.44;2.63;3.8;1.22;4.55;1.15;1.45;1.25;1.57;2.63;2.4;3.1;2.4;2.8;2.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.73;21;2.1;4.6;5.5;1.25;2.25;4.6;9.75;3.54;1.58;1.16;1.06;1.14;1.67;3.25;7;5.5;2.1;1.33;1.1;0;0;0;0;4;2;0;1;1;2;2;2021-07-24 15:00:00;6788;0;0;0;0;0;1;-1;4;7;2;5;11;7;-1;-1;-1;-1;-1;-1;1;39;38;60;80;2.11;1.84;3.95;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Pipinsried;Augsburg II;1.26;0.89;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6024;38;Y;Y;Y;Y;N;N;Y
